id,landmark_id,class_id
e64c6903dac10c43,59848,293
16b966e5a36bf5eb,68033,339
bdca921fc86dfba9,186538,918
c796b2c905f94f71,85807,414
feef3cf8db87b08a,196640,970
79e332692d1bc114,168311,819
e1ed2fe8352b81f0,144588,710
933d772cb872ef24,4728,26
bae1aef9dce09be8,47537,239
f78de110cec3d148,111347,544
3f3d164113cb905b,165985,809
b10fcc86031adb51,140763,692
47fc80aac5d59a0b,164103,795
0871f3230088ba19,194130,958
c08be593b2d373a8,167038,813
efd0bdd97fc9a2d9,199188,976
2e2bf11ae3a7f3e3,31853,153
96b563977b3585f7,37342,178
bbe0a041322e9079,100895,487
c1a9e93318beb312,41571,205
d8bb7c6719f4132d,106404,513
be6dcb9d085f096f,47035,234
1883118377e3e281,199735,983
c910c1a5553af8fd,162345,784
6418097a3d5150ae,44067,218
9c6f52bbd7d3c09f,66016,329
30572dc72b2392bf,78691,383
8b96c865f06e27af,111224,541
63747e362cf7165d,51329,255
de7dc216839427de,81020,395
c5e64018409ea244,103168,500
7e0e1185097c3ffd,50915,252
99c366968abae423,168452,821
68d41da424b5f28f,170553,831
3b6b6495345fa22d,170553,831
d89d691a2ce9fff3,82666,400
1d4b0711cd30f231,102544,493
11ac20c20a84b726,102544,493
a7fd0ed77a186340,29495,137
97d4aaa296bf5823,139977,688
34b1bd8a44e55722,2273,16
1b278e486737a5ff,72303,355
0cbf2000c28fda8f,35223,170
e1b729adac70deed,162823,790
34b4111d26b6fb53,91772,443
noi42,0,1000
noi31,0,1000
noi47,0,1000
noi142,0,1000
noi140,0,1000
noi125,0,1000
noi7,0,1000
noi45,0,1000
noi3,0,1000
noi112,0,1000
noi136,0,1000
noi102,0,1000
noi71,0,1000
noi11,0,1000
noi80,0,1000
noi48,0,1000
noi41,0,1000
noi137,0,1000
noi53,0,1000
noi23,0,1000
noi147,0,1000
noi76,0,1000
noi32,0,1000
noi33,0,1000
noi0,0,1000
noi60,0,1000
noi107,0,1000
noi124,0,1000
noi25,0,1000
noi133,0,1000
noi104,0,1000
noi111,0,1000
noi35,0,1000
noi4,0,1000
noi100,0,1000
noi117,0,1000
noi50,0,1000
noi93,0,1000
noi62,0,1000
noi39,0,1000
noi106,0,1000
noi17,0,1000
noi9,0,1000
noi79,0,1000
noi99,0,1000
noi138,0,1000
noi72,0,1000
noi34,0,1000
noi116,0,1000
noi119,0,1000
noi56,0,1000
noi103,0,1000
noi120,0,1000
noi29,0,1000
noi61,0,1000
noi98,0,1000
noi94,0,1000
noi73,0,1000
noi14,0,1000
noi89,0,1000
noi91,0,1000
noi52,0,1000
noi141,0,1000
noi65,0,1000
noi57,0,1000
noi83,0,1000
noi5,0,1000
noi44,0,1000
noi40,0,1000
noi90,0,1000
noi128,0,1000
noi149,0,1000
noi97,0,1000
noi75,0,1000
noi6,0,1000
noi110,0,1000
noi127,0,1000
noi122,0,1000
noi16,0,1000
noi130,0,1000
noi109,0,1000
noi70,0,1000
noi101,0,1000
noi121,0,1000
noi84,0,1000
noi66,0,1000
noi139,0,1000
noi77,0,1000
noi148,0,1000
noi58,0,1000
noi36,0,1000
noi81,0,1000
noi92,0,1000
noi26,0,1000
noi21,0,1000
noi37,0,1000
noi126,0,1000
noi135,0,1000
noi113,0,1000
noi85,0,1000
noi13,0,1000
noi145,0,1000
noi132,0,1000
noi18,0,1000
noi114,0,1000
noi54,0,1000
noi2,0,1000
noi10,0,1000
noi55,0,1000
noi105,0,1000
noi146,0,1000
noi143,0,1000
noi8,0,1000
noi51,0,1000
noi43,0,1000
noi22,0,1000
noi28,0,1000
noi118,0,1000
noi95,0,1000
noi30,0,1000
noi15,0,1000
noi64,0,1000
noi144,0,1000
noi78,0,1000
noi88,0,1000
noi19,0,1000
noi46,0,1000
noi49,0,1000
noi115,0,1000
noi96,0,1000
noi20,0,1000
noi1,0,1000
noi123,0,1000
noi59,0,1000
noi74,0,1000
noi12,0,1000
noi129,0,1000
noi63,0,1000
noi68,0,1000
noi131,0,1000
noi82,0,1000
noi108,0,1000
noi69,0,1000
noi27,0,1000
noi67,0,1000
noi87,0,1000
noi86,0,1000
noi134,0,1000
noi24,0,1000
noi38,0,1000
